Annual_Rainfall,Seasonal_Rainfall,Cloud_Visibility,Humidity,Temperature,Wind_Speed,Flood_Occurred
2547.7,1271.7,5.24,55.9,30.1,16.3,0
2103.2,1042.3,5.56,54.5,30.5,14.0,0
2653.4,887.6,6.02,50.4,27.2,10.5,0
3266.1,1667.0,5.12,66.9,29.9,17.5,1
2036.1,1298.9,3.93,67.6,24.6,18.4,1
2036.1,808.5,5.5,48.1,28.2,11.9,0
3305.4,2233.9,4.04,81.1,20.9,23.3,1
2737.2,1665.7,4.37,61.5,32.9,12.5,1
1871.4,864.4,5.1,48.5,29.3,9.3,0
2579.8,1375.1,4.17,66.5,35.4,11.5,1
1875.6,1391.3,4.22,67.4,31.2,12.6,0
1874.0,1195.7,6.09,63.9,30.6,22.6,0
2369.4,1305.7,6.31,52.6,27.3,19.8,0
860.7,448.8,7.56,44.3,27.8,4.1,0
992.6,555.0,6.58,53.7,32.3,13.8,0
1806.4,882.6,6.46,54.1,29.8,10.7,0
1491.0,443.5,6.36,40.5,27.0,6.4,0
2420.0,1924.0,3.63,73.0,23.1,10.1,1
1564.4,889.6,5.22,49.7,27.1,18.9,0
1211.4,724.1,5.07,62.1,35.8,4.0,0
3226.0,1751.9,4.17,76.8,34.6,17.7,1
2042.0,942.9,5.48,58.4,30.5,7.7,0
2247.3,1185.9,5.7,66.8,29.7,19.4,0
1202.7,430.6,5.54,47.2,30.0,8.5,0
1818.9,1497.4,4.78,68.1,25.8,15.8,1
2277.6,915.3,4.05,63.2,34.0,12.6,0
1394.3,594.2,6.18,50.8,36.3,13.2,0
2463.0,1224.5,5.85,57.7,26.5,15.1,0
1779.6,1253.8,5.65,49.5,28.9,14.9,0
1995.8,1101.2,5.84,56.8,28.1,11.2,0
1778.8,714.5,4.89,56.2,29.1,2.6,0
3496.6,2449.4,1.38,84.2,30.0,15.3,1
2190.6,1397.0,5.1,65.0,24.9,20.3,1
1459.6,897.1,7.32,50.8,31.3,11.3,0
2775.8,1765.1,4.28,55.9,30.2,14.1,1
1345.4,1126.5,6.5,54.7,29.0,6.0,0
2346.2,1905.6,4.18,68.1,30.3,8.6,1
828.2,387.3,5.62,44.2,31.6,6.0,0
1270.3,946.2,4.45,58.6,33.5,18.7,0
2337.8,1393.3,4.05,73.8,24.2,12.6,1
2716.9,1657.0,4.05,66.8,27.2,19.9,1
2320.0,804.9,4.9,51.3,29.9,9.0,0
2119.0,1122.1,4.08,56.1,21.4,18.2,0
1989.2,900.0,4.97,54.9,26.7,11.0,0
1165.0,756.5,6.44,46.9,27.8,4.9,0
1696.1,1150.9,5.22,58.8,32.2,13.0,0
1877.6,565.3,5.66,51.6,28.6,22.2,0
2940.0,1609.2,4.58,66.5,25.9,27.9,1
2440.5,1670.8,5.05,69.0,30.6,20.5,1
965.9,509.6,6.48,50.6,26.0,10.1,0
2426.9,1547.1,5.26,53.7,22.3,18.7,0
1930.4,1143.1,5.76,61.8,28.3,16.4,0
1726.2,1020.2,5.01,52.0,25.3,13.6,0
2628.2,1359.9,5.21,54.8,24.7,18.4,0
2921.7,1180.4,5.53,51.9,31.0,16.0,1
2851.9,1184.7,4.05,61.2,31.9,12.9,1
1612.5,1024.2,5.25,54.8,32.0,6.7,0
1983.6,1095.6,4.42,47.1,32.8,11.5,0
2431.9,1297.1,6.36,63.3,32.8,20.2,0
2882.9,1438.9,4.65,54.0,22.3,16.0,1
1864.6,957.2,6.81,55.9,31.2,15.3,0
2070.0,1398.6,4.79,63.4,27.2,14.3,1
1425.6,726.7,6.07,56.7,28.1,5.8,0
1362.7,530.2,5.17,59.0,32.5,9.6,0
2768.8,1769.9,4.98,59.6,22.8,12.0,1
3149.4,1654.7,4.98,65.7,23.0,10.9,1
2149.6,1190.4,5.86,57.0,31.2,22.0,0
2902.5,2156.3,4.03,76.5,28.5,17.8,1
2453.1,1343.2,4.57,62.4,29.3,11.2,1
1748.4,1022.3,5.26,53.9,27.0,23.5,0
2453.0,1002.1,4.43,53.1,31.9,18.6,0
3276.6,1715.8,5.22,60.3,30.1,15.6,1
2174.9,1355.3,5.39,67.2,29.2,18.3,1
3295.3,1197.3,6.3,61.6,25.7,13.4,1
